empresa,Github || Bitbucket,original repositories,5★,50★,500★,1000★,product related repositories,public members,impact,colombian founder/s,colombian eng operations,founded in colombian territory,notes
Advisers.io,-,-,-,-,-,-,-,-,none,1,?,?,torrenegra labs
AllTheRooms,https://github.com/alltherooms,5,0,0,0,0,1,0,none,0,1,0,socialatom ventures
Authy,https://github.com/authy,0,0,0,0,0,13,0,none,1,1,1,socialatom ventures
Bankity,-,-,-,-,-,-,-,-,none,1,1,1,socialatom ventures
Bunny Inc,https://github.com/bunnyinc,1,0,0,0,0,0,1,none,1,1,0,torrenegra labs
"Dashbell, LetMeGo",-,-,-,-,-,-,-,-,none,1,1,1,torrenegra labs
Domicilios.com,-,-,-,-,-,-,-,-,none,1,1,1,
Entryless,-,-,-,-,-,-,-,-,none,0,1,0,socialatom ventures
Geniusly,https://github.com/Geniusly,1,0,0,0,0,0,0,none,0,1,0,socialatom ventures
Hooklift,https://github.com/hooklift,7,5,2,0,0,1,1,significant,1,0,0,
MiCarga.com,https://github.com/micarga,0,0,0,0,0,0,0,none,1,1,1,"torrenegra labs, socialatom ventures"
MortgageHippo,-,-,-,-,-,-,-,-,none,1,?,0,socialatom ventures
Ojala,https://github.com/Ojala,0,0,0,0,,0,0,none,1,1,?,socialatom ventures
Oppten,https://github.com/oppten,0,0,0,0,0,3,0,none,1,1,1,socialatom ventures
PulsoSocial,https://github.com/Pulsosocial,0,0,0,0,0,0,0,none,1,?,0,socialatom ventures
Ride,https://github.com/ride,1,0,0,0,0,0,7,none,0,1,0,
Tappsi,https://github.com/tappsi,0,0,0,0,0,0,0,none,1,1,1,
Trotter,-,-,-,-,-,-,-,-,none,1,?,?,
Ubidots,https://github.com/ubidots,0,0,0,0,0,17,2,none,1,1,1,
Viajala,-,-,-,-,-,-,-,-,none,1,1,1,
WeHostels,https://github.com/WeHostels,1,0,0,0,0,2,4,none,0,1,0,torrenegra labs